id;id_pratica_ref;data;nota;version
1;6;Steel transition systems;Optimization West Virginia;Lights standardization
2;5;Avon;Technician;Gorgeous
3;3;JBOD service-desk function;Response Wyoming;Avon Drives
4;0;override copying;Paradigm;neural
5;8;Personal Loan Account Directives;Borders Metal;calculate capacitor
6;7;wireless Berkshire;mobile encompassing;Licensed Steel Cheese
7;7;Realigned;Kwanza Licensed Plastic Chips;optical Cambridgeshire Buckinghamshire
8;1;parse;withdrawal Cambridgeshire deposit;red Function-based Marshall Islands
9;6;silver Czech Koruna Bacon;Quality SQL;24/365 Village
10;7;SAS Intelligent;Handmade Concrete Soap Texas;Business-focused
