id;id_task;data;nota;version
1;6;Swiss Franc reboot;Integration;1080p
2;5;deposit Savings Account deposit;Rufiyaa Integration Enterprise-wide;magnetic solid state Customer
3;6;Investor;synthesize;Club Rustic Small
4;5;interface morph;system interface Rubber;Mountain wireless database
5;6;Legacy evolve;data-warehouse bypassing;innovate olive
6;0;infrastructure deliverables;salmon transmit South Georgia and the South Sandwich Islands;Tasty Wooden Soap clear-thinking
7;3;Panama;white Fresh;copy deposit Business-focused
8;2;Burundi Missouri;Engineer Optional cyan;Money Market Account
9;6;Handcrafted Personal Loan Account;pixel Dobra;Integration
10;1;Wooden program Bedfordshire;payment Bacon cultivate;Borders compressing throughput
