id;id_invito;id_studio_professionale_ref;data_invito;id_user_invitante;nome_user_invitante;data_scadenza_invito;testo_invito;id_pratica_ref;id_task_ref;luogo_fisico;indicazioni_luogo;data_inizio;ora_inizio;data_fine;ora_fine;url_stanza_virtuale;discriminator
1;7;5;Representative revolutionize;96630;deposit sensor;neural Keyboard Mouse;integrated Congolese Franc Ethiopia;61266;94650;solution solutions;Plaza Diverse Courts;Directives teal Terrace;Missouri;index;synthesize forecast withdrawal;virtual;overriding Belarussian Ruble
2;0;4;Buckinghamshire Investment Account;8743;syndicate monitor;sky blue empower;moratorium;96032;7146;Producer grow Cambridgeshire;Home Loan Account Fresh;Moroccan Dirham Shirt withdrawal;SQL Beauty Guarani;utilisation;bypass Cambridgeshire Australian Dollar;time-frame India Director;Lane calculate
3;0;3;Small Unbranded;53957;Music connect;Practical;paradigm;86215;66533;relationships Operative Pants;Delaware overriding;virtual Mouse;contextually-based cross-platform;Intranet Facilitator;Cambridgeshire Refined;Outdoors;SSL
4;2;4;Hat New Jersey Rustic;73323;Buckinghamshire;Bedfordshire payment;Innovative Borders;80742;89124;needs-based applications;Borders Secured;programming;haptic e-tailers;Serbia;Bacon bandwidth;optimize Frozen optical;Facilitator deposit copying
5;1;8;Fantastic Borders Fish;25903;pixel;hard drive Avon;Games Bacon;84327;33555;generating;hard drive Guarani Industrial;Steel collaborative Checking Account;Argentina Shoes Sleek Wooden Fish;Ghana;neural seize best-of-breed;azure Buckinghamshire Washington;parsing orange East Caribbean Dollar
6;4;0;SMS reboot Lithuanian Litas;57719;payment end-to-end;Wooden;Handcrafted Personal Loan Account;88998;20411;Pakistan Rupee;firewall Granite;Intelligent Rubber Bike Developer;deposit Licensed;Frozen backing up;sensor integrate Belarus;Avon Somoni Synchronised;web-enabled
7;4;2;transform Configuration Program;68770;JBOD Chicken;transmitting Fantastic;Home Loan Account;52332;71679;Auto Loan Account primary;mission-critical;Soft;Berkshire South Carolina;JBOD ivory Usability;service-desk;Concrete;protocol virtual USB
8;5;4;extend;7531;Phased Accountability plum;Towels utilisation Computer;Accountability;99768;41117;Sports Infrastructure;monitor capability grow;architectures Licensed;withdrawal SDD;Handcrafted Rubber Keyboard Frozen Automotive;niches;interface payment Functionality;payment Manager
9;1;6;synergistic bandwidth SQL;63935;Berkshire;Plastic Home;Cheese Gloves;35271;30864;connecting;withdrawal;visualize Incredible Cotton Shoes;Granite Lead;Hat Georgia;Rustic Soft Pizza;invoice Maryland;Consultant
10;2;2;background;7455;Supervisor;supply-chains Ford;Progressive;95177;11433;technologies Identity Mill;Personal Loan Account Tactics;Tasty;plum Bahrain Ergonomic Wooden Towels;lime;secondary;Austria Operative sensor;Implemented Facilitator aggregate
